date,weekly_ufopct,year,month
2007-05-20,10.425531914893618,2007,5
2007-05-27,10.425531914893618,2007,5
2008-05-04,12.553191489361698,2008,5
2008-05-11,13.829787234042554,2008,5
2008-05-18,12.978723404255321,2008,5
2008-05-25,14.255319148936168,2008,5
2009-05-03,9.574468085106382,2009,5
2009-05-10,8.936170212765957,2009,5
2009-05-17,13.404255319148936,2009,5
2009-05-24,15.957446808510635,2009,5
2009-05-31,17.02127659574468,2009,5
2010-05-02,11.48936170212766,2010,5
2010-05-09,13.191489361702127,2010,5
2010-05-16,13.404255319148936,2010,5
2010-05-23,11.27659574468085,2010,5
2010-05-30,13.191489361702127,2010,5
2011-05-01,12.127659574468085,2011,5
2011-05-08,15.744680851063832,2011,5
2011-05-15,10.851063829787234,2011,5
2011-05-22,11.702127659574465,2011,5
2011-05-29,11.702127659574465,2011,5
2012-05-06,18.51063829787234,2012,5
2012-05-13,21.914893617021274,2012,5
2012-05-20,22.97872340425532,2012,5
2012-05-27,19.78723404255319,2012,5
2013-05-05,22.127659574468087,2013,5
2013-05-12,17.446808510638302,2013,5
2013-05-19,19.361702127659573,2013,5
2013-05-26,25.53191489361702,2013,5
2014-05-04,26.170212765957444,2014,5
2014-05-11,24.46808510638298,2014,5
2014-05-18,23.19148936170213,2014,5
2014-05-25,32.97872340425532,2014,5
2015-05-03,18.936170212765962,2015,5
2015-05-10,18.29787234042553,2015,5
2015-05-17,16.382978723404253,2015,5
2015-05-24,19.148936170212764,2015,5
2015-05-31,18.08510638297872,2015,5
2016-05-01,13.191489361702127,2016,5
2016-05-08,14.893617021276595,2016,5
2016-05-15,15.319148936170214,2016,5
2016-05-22,15.957446808510635,2016,5
2016-05-29,18.08510638297872,2016,5
2017-05-07,13.191489361702127,2017,5
2017-05-14,17.872340425531913,2017,5
2017-05-21,17.659574468085104,2017,5
2017-05-28,13.829787234042554,2017,5
2018-05-06,10.851063829787234,2018,5
2018-05-13,9.148936170212766,2018,5
2018-05-20,7.234042553191488,2018,5
2018-05-27,8.723404255319151,2018,5
2019-05-05,9.787234042553193,2019,5
2019-05-12,12.127659574468085,2019,5
2019-05-19,15.957446808510635,2019,5
2019-05-26,45.53191489361702,2019,5
2020-05-03,64.8936170212766,2020,5
2020-05-10,24.680851063829785,2020,5
2020-05-17,25.53191489361702,2020,5
2020-05-24,23.82978723404255,2020,5
2020-05-31,17.659574468085104,2020,5
2006-06-04,10.425531914893618,2006,6
2006-06-11,12.76595744680851,2006,6
2006-06-18,13.617021276595745,2006,6
2006-06-25,10.638297872340424,2006,6
2007-06-03,9.361702127659576,2007,6
2007-06-10,15.319148936170214,2007,6
2007-06-17,13.617021276595745,2007,6
2007-06-24,28.085106382978722,2007,6
2008-06-01,14.042553191489361,2008,6
2008-06-08,19.148936170212764,2008,6
2008-06-15,21.27659574468085,2008,6
2008-06-22,21.70212765957447,2008,6
2008-06-29,15.319148936170214,2008,6
2009-06-07,14.468085106382976,2009,6
2009-06-14,16.80851063829787,2009,6
2009-06-21,14.893617021276595,2009,6
2009-06-28,15.744680851063832,2009,6
2010-06-06,15.319148936170214,2010,6
2010-06-13,10.638297872340424,2010,6
2010-06-20,15.106382978723405,2010,6
2010-06-27,17.23404255319149,2010,6
2011-06-05,16.80851063829787,2011,6
2011-06-12,12.127659574468085,2011,6
2011-06-19,20.21276595744681,2011,6
2011-06-26,15.106382978723405,2011,6
2012-06-03,21.063829787234038,2012,6
2012-06-10,27.659574468085108,2012,6
2012-06-17,29.36170212765957,2012,6
2012-06-24,38.723404255319146,2012,6
2013-06-02,27.02127659574468,2013,6
2013-06-09,26.170212765957444,2013,6
2013-06-16,23.19148936170213,2013,6
2013-06-23,30.0,2013,6
2013-06-30,25.106382978723406,2013,6
2014-06-01,22.34042553191489,2014,6
2014-06-08,28.723404255319146,2014,6
2014-06-15,27.872340425531913,2014,6
2014-06-22,44.04255319148936,2014,6
2014-06-29,34.893617021276604,2014,6
2015-06-07,19.78723404255319,2015,6
2015-06-14,21.063829787234038,2015,6
2015-06-21,18.936170212765962,2015,6
2015-06-28,20.851063829787236,2015,6
2016-06-05,17.659574468085104,2016,6
2016-06-12,20.638297872340427,2016,6
2016-06-19,18.936170212765962,2016,6
2016-06-26,14.893617021276595,2016,6
2017-06-04,13.191489361702127,2017,6
2017-06-11,21.27659574468085,2017,6
2017-06-18,14.893617021276595,2017,6
2017-06-25,15.957446808510635,2017,6
2018-06-03,10.638297872340424,2018,6
2018-06-10,10.425531914893618,2018,6
2018-06-17,7.659574468085107,2018,6
2018-06-24,8.51063829787234,2018,6
2019-06-02,16.382978723404253,2019,6
2019-06-09,15.319148936170214,2019,6
2019-06-16,14.893617021276595,2019,6
2019-06-23,20.21276595744681,2019,6
2019-06-30,17.872340425531913,2019,6
2020-06-07,18.29787234042553,2020,6
2020-06-14,20.638297872340427,2020,6
2020-06-21,12.76595744680851,2020,6
2020-06-28,18.72340425531915,2020,6
2006-07-02,12.978723404255321,2006,7
2006-07-09,15.106382978723405,2006,7
2006-07-16,18.936170212765962,2006,7
2006-07-23,14.255319148936168,2006,7
2006-07-30,13.829787234042554,2006,7
2007-07-01,16.170212765957444,2007,7
2007-07-08,22.97872340425532,2007,7
2007-07-15,19.78723404255319,2007,7
2007-07-22,17.872340425531913,2007,7
2007-07-29,14.468085106382976,2007,7
2008-07-06,36.38297872340426,2008,7
2008-07-13,18.29787234042553,2008,7
2008-07-20,18.72340425531915,2008,7
2008-07-27,19.148936170212764,2008,7
2009-07-05,35.31914893617021,2009,7
2009-07-12,20.21276595744681,2009,7
2009-07-19,19.78723404255319,2009,7
2009-07-26,24.680851063829785,2009,7
2010-07-04,68.29787234042553,2010,7
2010-07-11,32.34042553191489,2010,7
2010-07-18,28.085106382978722,2010,7
2010-07-25,20.638297872340427,2010,7
2011-07-03,43.82978723404255,2011,7
2011-07-10,50.638297872340424,2011,7
2011-07-17,23.82978723404255,2011,7
2011-07-24,23.19148936170213,2011,7
2011-07-31,24.042553191489358,2011,7
2012-07-01,37.23404255319149,2012,7
2012-07-08,72.12765957446808,2012,7
2012-07-15,31.702127659574465,2012,7
2012-07-22,31.276595744680854,2012,7
2012-07-29,28.93617021276595,2012,7
2013-07-07,84.8936170212766,2013,7
2013-07-14,31.063829787234038,2013,7
2013-07-21,26.38297872340425,2013,7
2013-07-28,29.148936170212764,2013,7
2014-07-06,100.0,2014,7
2014-07-13,38.51063829787234,2014,7
2014-07-20,32.34042553191489,2014,7
2014-07-27,29.574468085106385,2014,7
2015-07-05,62.127659574468076,2015,7
2015-07-12,22.127659574468087,2015,7
2015-07-19,20.0,2015,7
2015-07-26,23.82978723404255,2015,7
2016-07-03,28.510638297872337,2016,7
2016-07-10,31.702127659574465,2016,7
2016-07-17,18.08510638297872,2016,7
2016-07-24,21.489361702127663,2016,7
2016-07-31,41.276595744680854,2016,7
2017-07-02,21.914893617021274,2017,7
2017-07-09,31.914893617021274,2017,7
2017-07-16,17.23404255319149,2017,7
2017-07-23,17.659574468085104,2017,7
2017-07-30,20.638297872340427,2017,7
2018-07-01,12.340425531914892,2018,7
2018-07-08,24.25531914893617,2018,7
2018-07-15,16.595744680851062,2018,7
2018-07-22,18.08510638297872,2018,7
2018-07-29,10.851063829787234,2018,7
2019-07-07,31.276595744680854,2019,7
2019-07-14,22.34042553191489,2019,7
2019-07-21,16.170212765957444,2019,7
2019-07-28,24.680851063829785,2019,7
2020-07-05,32.34042553191489,2020,7
2020-07-12,23.40425531914893,2020,7
2020-07-19,30.638297872340427,2020,7
2020-07-26,28.29787234042553,2020,7
2006-08-06,17.02127659574468,2006,8
2006-08-13,13.829787234042554,2006,8
2006-08-20,20.0,2006,8
2006-08-27,13.404255319148936,2006,8
2007-08-05,12.127659574468085,2007,8
2007-08-12,20.21276595744681,2007,8
2007-08-19,20.0,2007,8
2007-08-26,16.382978723404253,2007,8
2008-08-03,26.170212765957444,2008,8
2008-08-10,23.40425531914893,2008,8
2008-08-17,17.872340425531913,2008,8
2008-08-24,17.02127659574468,2008,8
2008-08-31,16.80851063829787,2008,8
2009-08-02,16.382978723404253,2009,8
2009-08-09,16.170212765957444,2009,8
2009-08-16,20.638297872340427,2009,8
2009-08-23,20.21276595744681,2009,8
2009-08-30,18.08510638297872,2009,8
2010-08-01,18.29787234042553,2010,8
2010-08-08,18.936170212765962,2010,8
2010-08-15,26.170212765957444,2010,8
2010-08-22,17.02127659574468,2010,8
2010-08-29,24.46808510638298,2010,8
2011-08-07,23.40425531914893,2011,8
2011-08-14,29.574468085106385,2011,8
2011-08-21,27.02127659574468,2011,8
2011-08-28,26.80851063829787,2011,8
2012-08-05,28.93617021276595,2012,8
2012-08-12,50.85106382978723,2012,8
2012-08-19,39.361702127659576,2012,8
2012-08-26,35.53191489361703,2012,8
2013-08-04,33.82978723404255,2013,8
2013-08-11,38.08510638297872,2013,8
2013-08-18,41.06382978723404,2013,8
2013-08-25,36.38297872340426,2013,8
2014-08-03,37.659574468085104,2014,8
2014-08-10,27.872340425531913,2014,8
2014-08-17,34.04255319148936,2014,8
2014-08-24,42.127659574468076,2014,8
2014-08-31,44.680851063829785,2014,8
2015-08-02,26.80851063829787,2015,8
2015-08-09,30.21276595744681,2015,8
2015-08-16,28.085106382978722,2015,8
2015-08-23,24.46808510638298,2015,8
2015-08-30,21.063829787234038,2015,8
2016-08-07,21.27659574468085,2016,8
2016-08-14,29.36170212765957,2016,8
2016-08-21,20.425531914893615,2016,8
2016-08-28,19.574468085106385,2016,8
2017-08-06,16.382978723404253,2017,8
2017-08-13,18.29787234042553,2017,8
2017-08-20,16.80851063829787,2017,8
2017-08-27,18.29787234042553,2017,8
2018-08-05,13.829787234042554,2018,8
2018-08-12,17.23404255319149,2018,8
2018-08-19,13.617021276595745,2018,8
2018-08-26,8.723404255319151,2018,8
2019-08-04,22.127659574468087,2019,8
2019-08-11,17.872340425531913,2019,8
2019-08-18,15.957446808510635,2019,8
2019-08-25,16.170212765957444,2019,8
2020-08-02,30.638297872340427,2020,8
2020-08-09,32.76595744680851,2020,8
2020-08-16,40.42553191489362,2020,8
2020-08-23,31.276595744680854,2020,8
2020-08-30,22.76595744680851,2020,8
