,startdateweek,weekly_ufocount,weekly_ufopct,year,month,weeknum,week_id
298,2007-07-15,93,19.78723404255319,2007,7,28,2007-28
299,2013-12-22,93,19.78723404255319,2013,12,51,2013-51
300,2015-06-07,93,19.78723404255319,2015,6,23,2015-23
301,2015-11-29,93,19.78723404255319,2015,11,48,2015-48
302,2012-05-27,93,19.78723404255319,2012,5,21,2012-21
303,2008-02-24,93,19.78723404255319,2008,2,8,2008-8
304,2017-01-01,92,19.574468085106385,2017,1,52,2017-52
305,2016-08-28,92,19.574468085106385,2016,8,34,2016-34
306,2011-12-04,92,19.574468085106385,2011,12,48,2011-48
307,2017-12-31,92,19.574468085106385,2017,12,52,2017-52
308,2008-09-21,92,19.574468085106385,2008,9,38,2008-38
309,2010-10-31,92,19.574468085106385,2010,10,43,2010-43
310,2007-11-11,92,19.574468085106385,2007,11,45,2007-45
311,2017-12-17,92,19.574468085106385,2017,12,50,2017-50
312,2009-02-08,92,19.574468085106385,2009,2,6,2009-6
313,2010-11-14,92,19.574468085106385,2010,11,45,2010-45
314,2015-03-08,92,19.574468085106385,2015,3,10,2015-10
315,2017-02-26,91,19.361702127659573,2017,2,8,2017-8
316,2020-03-22,91,19.361702127659573,2020,3,12,2020-12
317,2014-03-23,91,19.361702127659573,2014,3,12,2014-12
318,2019-12-08,91,19.361702127659573,2019,12,49,2019-49
319,2020-01-19,91,19.361702127659573,2020,1,3,2020-3
320,2012-04-08,91,19.361702127659573,2012,4,14,2012-14
321,2010-09-19,91,19.361702127659573,2010,9,37,2010-37
322,2007-09-16,91,19.361702127659573,2007,9,37,2007-37
323,2013-05-19,91,19.361702127659573,2013,5,20,2013-20
324,2015-04-19,90,19.148936170212764,2015,4,16,2015-16
325,2017-10-08,90,19.148936170212764,2017,10,40,2017-40
326,2015-05-24,90,19.148936170212764,2015,5,21,2015-21
327,2008-07-27,90,19.148936170212764,2008,7,30,2008-30
328,2015-12-20,90,19.148936170212764,2015,12,51,2015-51
329,2008-06-08,90,19.148936170212764,2008,6,23,2008-23
330,2018-01-07,90,19.148936170212764,2018,1,1,2018-1
331,2008-10-19,90,19.148936170212764,2008,10,42,2008-42
332,2017-10-29,90,19.148936170212764,2017,10,43,2017-43
333,2016-06-19,89,18.936170212765962,2016,6,24,2016-24
334,2016-04-17,89,18.936170212765962,2016,4,15,2016-15
